Unsweetened Iced Green Tea
Spicy Mayo
Toro
Blue Fin Tuna
Yellowtail
Salmon
Amberjack
Spanish Mackerel
King Crab
Eel
Shrimp
Fluke
Salmon Caviar
Giant Clam
Toro Scallion Roll
Tuna Roll
Salmon Roll
Yellowtail Scallion Roll
King Crab Roll
Avocado Roll
Spicy Toro Roll
Spicy Tuna Roll
Spicy Salmon Roll
Spicy Yellowtail Roll
California Roll
Eel Roll
Salmon Skin Roll
Shrimp Roll
Rainbow Roll
Cucumber Roll
Tuna Avocado Roll
Eel Avocado Roll
Salmon Avocado Roll
King Crab Avocado Roll
Shrimp Tempura Roll
3. Sushi Deluxe Entree
4. Sushi Set Entree
6. Sashimi Special Entree
7. Sushi and Sashimi Combination Entree
Oshitashi
Edamame
Hijiki
Salmon Or Chilean Sea Bass
Ebi Maccha-age
Ara Jiru
Aka Miso
Ushio
Kaisou
Oshinko
Salad
Sushitake
Sushi Matsu
Sashimi Take
Maki Combination
Chirashi
Tekka Don Matsu
Tuna
Sea-bass
Spanish-mackerel
Cherrystone-clam
Egg-omelet
Orato
Orange-clam
Egg-custard
Tuna-roll
Salmon-skin-roll
Yellowtail-roll
Freshwater-eel-roll
Shirauo Kara-age
Tako Wasa
Zucchini Tempura
Spicy Cucumber Pickle
Fried Wonton Cheese
Ikura Shoyu
Salmon Siokara
Kizami Wasabi Shoyuzuke
Aburi Shime Saba
Totto Soup
Miso Soup
Kyona 
 Jyako Salad
Avocado 
 Tuna Salad
Spicy Chicken Salad
Tofu Salad W/ Lemon Dressing
Kaisou Salad
Agedashi Tofu
Yakumi Zaru Tofu
Bainiku Nagaimo Isobemaki
Kinoko 
 Nagaimo
Amakara Age
Maguro Zuke
Croquette
Jidori Karaage
Mizore Gake
Tori Dango
Dashi Maki Tamago
Negima
Kawa
Tebasaki
Sunagimo
Reba
Momo
Sasami
Tsukune
Pork Mustard
Negi Pon
Ton Toro
Harami
Asparagus
Shishito
Shiitake
Yaki Nasu Miso Dengaku
Hiza Nankotsu
Seseri
Bonchiri
Hatsu
Chicken Oyster
Nankotsu Tsukune
Hotate
Shishamo Smelt
Kuruma Ebi
Hokuhoku Garlic
Asparagus Bacon
Eringi Bacon
Kamo Negima
Lamb Chop
Shishito Tsukune
Yaki Onigiri
Tokusen Oyako Don
Jidori Donabe Gohan
Rice Ball
Tori Zousui
Sato Yosukes Inaniwa Udon
Ikura Don
Takana 
 Jyako Gohan
Negi Tori Don
Ocha Zuke
Spicy Tuna Tartare Cone
2 Piece Uni Corn
2 Piece Sukiyaki Beef Buns
Smashed Cucumber Salad
Grilled Organic Maitake Mushroom
Nibitashi Braised Eggplant
Shishito Pepper
Soy Garlic Fried Tatsuta Chicken
Shrimp Dumpling
Udon Pon Dumpling
Shrimp Tempura
