Soda
Jarritos
Trio de Guacamoles Dinner
Tradicional Guacamole Dinner
Tacos de Calabaza
Pollo Tacos Dinner
Camaron Tacos Dinner
Langosta Tacos Dinner
Chapulines Tacos Dinner
De Lechon Tacos Dinner
Suadero Tacos Dinner
Carne Asada Tacos Dinner
Costilla and Tuetano Tacos Dinner
Tacos de Pollo
Ceviche Peruano Ceviche Dinner
Tuna Tiradito
Dinner Toloache Burrito
Quesadilla de Huitlacoche and Trufas Dinner
Rib Eye Cecina Platos Fuertes Dinner
Paella de Quinoa Platos Fuertes Dinner
Carnitas con Mole Platos Fuertes Dinner
Fried Brussels Sprouts
Sweet Plantains
Avocado Fries
Cactus Fries
Rice and Black Beans
Toloache Corn on the Cob
Chips and Salsa
Lunch Traditional Guacamole
Lunch Ensalada Picada
Lunch Atun Ceviche
Lunch Langosta Taco
Lunch Chapulines Taco
Lunch De Lechon Taco
Lunch Suadero Taco
Lunch Carne Asada Taco
Lunch Costilla and Tuetano Taco
Lunch Burrito Toloache
Lunch Queso Fundido con Chorizo
Lunch Quesadilla De Huitlacoche y Trufas
Lunch Branzino a la Talla
Arroz con Crema
Flan
Tres Leches Cake
Churros
Crepas de Cajeta
Wild Harvest Grain Bowl
IMPOSSIBLE Taco
Rotisserie Chicken Tinga Taco
Vegan Chorizo Taco
Beef Short-Rib Taco
Chilean Sea Bass Cup
The Truffled Shroom Taco
Spicy Tuna Nori Taco
Wild Salmon Nori Taco
Taco Salad
Rice Bowl
Chicken Tortilla Soup
Guac 
 Chips
Mexican Street Corn Cup
Cold-Pressed Juice Pineapple/Turmeric
Cold-Pressed Juice Strawberry/Fuji Apple
Cold-Pressed Juice Watermelon/Lime
DIRTYLEMON Rose
Chicken Taco
Vegan Crab Cake Taco
Cauliflower Taco
Vegan Chorizo
Salmon Nori Taco
Tuna Nori Taco
Pulled Chicken Taco Salad Bowl
Grain Bowl
Build Your Own Taco Bar
Mexican Street Corn Tray
Rice and Black Bean Mash Tray
Carne Asada / Grilled Steak
Pollo Asado / Grilled Chicken
Adobada / Marinated Pork
Nopal / Grilled Cactus
Especial / Fried Quesadilla
Nopal Plate
Aguas Frescas
Mexican Sodas
Bottled Sodas
Water
3 Tacos Per Head
Chips, Salsa, and Guacamole
Limes and Radishes
Plates, Napkins, Forks, and Bowls
Grilled Pork Chop / Virado a Paulista
NY Strip Steak / Bitoque
Hearts of Palm Salad / Salada de Palmito
Kale Salad / Salada Samba
Empanadas / Salgadinhos
Cheese Bread / Pao de Queijo
Steak Cutlets / Bife a Palito
Sausage 
 Yucca / Linguica 
 Mandioca
Clams / Ameijoas a Bulhao Pato
Steak And Cheese Sandwich
Top Sirloin Steak / Picanha Fatiada
NY Strip Steak / Bife Samba
Beef Stroganoff / Strogonoff de Carne
Black Beans Stew / Feijoada
Tropical Chicken / Frango Tropical
Pork Chops / Costeleta de Porco a Portuguesa
Seafood Stew / Moqueca
Shrimp Stew / Camarao No Coco
Vatapa
Veggie Stew / Feijoada Vegetariana
Couve
Banana
Feijao
Homemade Flan
Brigadeiros / Brazilian Chocolate Truffles (3)
Ceviche de Pargo
Salpicón de Mariscos
Ensalada de Aguacate y Berro
Ensalada de Palmitos y Mandarinas
Aguacate Relleno
Ensalada de Tomate y Sandía
1492 Aperitivo Cubano (Serves Two)
Cuban Quesadilla
Bartolito
Croquetas Corral
Tortillas de Yuca con Lechón
Harina con Camarones
Sandwich Cubano
Fritas Cubanas
Empanadas de Pollo
Papa Rellena
Tostones con Masitas de Puerco
Cuba Libre
El Viejito
Coconaty Mojito
Cubiche Flaco 
Skinny Motito
Margarita Cubana
Havana Spice
Hemingway Daiquiri
La Jefa
Tablelands, Sauvignon Blanc, 2018, East Coast, New Zealand
Montecillo, Tempranillo, 2013, Rioja, Spain
Caramelized Pineapple Mojito
Jalapeto
Fort Knox
Spring Fling
King Kong Caipirinha
Tropical Lavender Sangria
Heathrow Tonic
Skinny Paloma
Key Lime Pie Swizzle
Cranberry Juice
Freshly Cut French Fries
Cajun Fries
Chicken Fingers
Buffalo Wings
Omar Wings
Brussels Sprouts
Philly Spring Rolls
Homemade Spinach Mozzarella Sticks
Calamari
Homemade Jalapeno Poppers
Mac N
 Cheese Bites
Sliders
Sweet Potato Fries
Chicken Quesadilla
Steak Quesadilla
Nachos
Potato Skins
2. Chicken Caesar Wrap
8. Chicken Parmesan Sandwich
Veggie Burger
Buffalo Chicken Burger
Pulled Pork Tacos
Fish Tacos
Panko Chicken Tenders (Share)
Crispy Brussels Sprouts (Share)
Rings and Fries Combo (Share)
Macho Fries (Share)
Fundido Fries
The Hudson Salad
Cali Fresh Salad
Berry Blue Salad
Buttermilk Buffalo Sandwich
American Burger
Buckaroo Burger
Supreme Burger
El Matador Burger
Paul Bunyan Burger
SoCal Burger
Farmstead Burger
Guadalupe Burger
Thai Chia Burger
Impossible Burger
Beyond Burger
Build Your Own Barest Burger
Sweet Fries (Side)
Rings and Fries Combo (Side)
Onion Rings (Side)
Dill Pickles
Sweet Pickles
Baby Green Salad
Special Sauce
Habanero Mayo
Buttermilk Ranch
Smoke Sauce
Curry Ginger Ketchup
Spicy Pico de Gallo
Guacamole
Cococado Vegan Milkshake
Velvis Vegan Milkshake
Flourless Chocolate Cake
Vegan Carrot Cake
Wood Oven French Loaf
Hudson Valley Burrata
Three Kale Salad
Apple, Raspberry 
 Sunchoke Salad
Brussel Sprout Salad
Roasted Cauliflower Soup
The Marshal
s Famous Wood Oven Roasted Meat Loaf
Goat Cheese 
 Herb Stuffed Bone-In Chicken Breast
Molasses 
 Bourbon BBQ Pork Ribs
Braised Lamb Shank
Phillips Sweet Potato 
 Kale au Gratin
Roasted Butternut Squash Salad
