Mango Lassi
Chaas - Buttermilk
Spiced Ice Tea
Mango Juice
Chaas (Mint and Cilantro Buttermilk)
Ginger Gobhee
Vegetable Samosa
Chicken Samosa
Samosa Chaat
Chicken 65
Chicken Shorba
Mango Chutney
Papadums
Tikka Sauce
Tandoori Chicken
Saffron Chicken Tikka
Malai Chicken Tikka
Reshmi Kabab
Salmon Tikka
Lamb Barrah Kabab
Tandoori Platter
Chicken Tikka Masala
Classic Chicken Curry
Chicken Zafrani
Chicken Kadai
Chicken Saag
Chicken Zalfrezie
Chicken Vindaloo
Kashmiri Lamb Rogan-Josh
Lucknowi Lamb Korma
Dal Ghosth
Lamb Saag
Lamb Vindaloo
Bombay Fish Masala
Shrimp Curry
Nav-Rattan Korma
Palak Paneer
Aloo Gobhee Adrak Masala
Malai Kofta
Bhendi Anardana
Chana Masala
Dal Makhni
Dal Tadka
Masala Dosa
Mysore Masala Dosa
Maska Cheese Masala Dosa
Onion and Tomato Uttappam
Grilled Chicken Dosa
Chicken Biryani
Lamb Biryani
Aromatic Basmati Rice
Naan
Garlic Naan
Rosemary Naan
Kashmiri Naan
Paneer Kulcha
Tandoori Roti
Aloo Paratha
Vegetarian Lunch Special
Poultry Lunch Special
Thai Ice Tea
Thai Ice Coffee
Soda
Lychee Juice
Grilled Skirt Steak with Jeaw Sauce
BBQ Chicken with Jeaw Sauce
Chicken Satay
Thai Chicken Wings
Curry Puff
Crispy Shrimp roll
Fried Calamari
Crispy Spring Roll
Top Thai Spring Roll
Edamame
Crispy Tofu
Kui Chai
Steam Dumpling
Golden flitter
Crab rangoon
Crispy Wonton
Tom Yum Shrimp Soup
Tom Kha Chicken Soup
Papaya Salad
Papaya Salad with Seafood
Thai Green Salad
Crispy Duck Salad
Grill Skirt Steak Salad
Top Thai Fried Rice
Spicy Basil Fried Rice
Pineapple Fried Rice
Spicy Lemongrass Fried Rice
Green Curry Fried Rice
Pad Kra Tiem (Garlic Sauce)
Pad Prik Khing
Pad Cashew Nut
Pad Kha Pow (Basil Sauce)
Double Green
Pad Thai
Pad See Eew
Pad Woon Sen (Glass Noodles)
Basil Udon
Top Thai Noodle 
Kua Gai
Tom Yum Noodle Soup
Kow Soi
Top Thai Curry
Green Curry
Mango Red Curry
Panang Curry
Massamun Curry
Hot Ocean
Shrimp and Crab meat fired rice
Kow Neaw Gai Yang Som Tum
5-Spiced Grilled skirt steak with thai herb gravy sauce(16 oZ.)
Crispy Duck Tamarind
Crispy Soft Shell Crab spicy basil sauce
Brown Rice
Sticky rice
L1. Pad Thai Lunch Special
L3. Basil Udon Lunch Special
L4. Street Fried Rice Lunch Special
L7. Golden Cashew Nut Lunch Special
L8. Green Curry Lunch Special
L10. Tom Yum Noodle
Thai Coconut Pudding
Taro Custard
Hearty Lentil Soup
Tabouleh Salad
Fattoush Salad
Artichoke Salad
Chicken Meshwe Salad
Skinny Shawarma Salad
Hummus
Hummus Beirute
Baba Ghanouj
Warak Einab
Mouhamara
Shankleesh
Labne bi Toum
Loubiye Bzeit
Falafel
Foul Madamas
