Thai Spring Rolls (4)
Sate (4)
Steamed Vegetable Dumplings (5)
Hoy Jor
Fried Tofu
Tod Mun Pla (5)
Wondee Sampler
Tom Yum Soup
Tom Ka Soup
Woon Sen Soup
Thai Salad
Avocado Salad
Mango Salad
Som Tum (papaya Salad)
Beef Salad
Larb Gai Salad
Yum Woon Sen Salad
Yum Ped Yang
Yum Ta-lay
Pla Rad Prig
Pla Yum Ma Muang
Catfish Pad Pett
Curry Rice
Thai Iced Tea
Thai Iced Coffee
Thai Crab Cake
Sweet Corn Fritters
Spring Rolls
Curry Puffs
Chai Home-Style Peanut Dumpling
Tod Mun
Golden Calamari
Slow-Cooked Pork Belly
Satay
Homemade Thai Dim Sum
Shrimp Tempura
Yum Ped Krob
Yum Beef
Garlic Chive Cake
Tom Yum Goong
Tom Kha Kai
Tasty Chicken Clear Soup
House Salad
Papaya Salad
Goong Ob Woon Sen
Goong Pa Lo
Seafood Pad Cha
Seafood Kha Pow
Mukrob Khana
Pla Bai Tong
Pla Lui Suan
Massaman
Red Curry
Green Curry
Yellow Curry
Cashew Chicken
Kha Pow
Duck Tamarind
Duck Pineapple Curry
BBQ Beef Thai-Style
Spicy Beef Bamboo Shoots
Pad Thai Chai-Style
Pad Sea Eiw
Fried Rice
Shrimp Lychee Fried Rice
Khi Mao
Indo-Chicken
Spicy Seafood Noodle Soup
Tom Yum Noodle Soup
Chiang Mai Noodle
Beef Brisket Noodles
Mixed Vegetables with green curry.
Grilled Edamame
Fried Thai-Style Chicken Wings
Golden Bags
Grilled Pork Salad
Summer Roll
BBQ Pork Shoulder
Salmon Panang Curry Sauce
Fried Jumbo Shrimp
Curry (Lunch Special)
Pad Thai (Lunch Special)
Chu Chee Curry Sauce (Lunch Special)
Pineapple Fried Rice (Lunch Special)
Spicy Basil Fried Rice (Lunch Special)
Jasmine Rice
Organic Brown Rice
Sticky Rice
Peanut Sauce
Soda
Juice
Crispy Spring Rolls
Fantastic Shrimp Rolls
Kanom Jeep Dumplings
9 Dumplings
Grilled Chicken Sate
Fried Calamari
Crab Rangoon
French Fries
Fried Chicken Combo
Mixed Puffs
Tom Kha Soup
Soft Shell Crab Papaya Pok Pok with Avocado
Yummy Spicy Shrimp Salad
Pad Thai
Pad See Eiw
Spicy Pad Kee Mao
Spicy Pad Udon
Kow Soi
Thai Fried Rice
Spicy Basil Fired Rice
Pad Ka-Prow
Pad Med Ma-Muang
Panang Curry
Massaman Curry
Kow Mun Kai Tod
Kang Kua Mussels
Kaeng Fak Thong Avocado
Pad Hau Neung Kai
Shrimp Massaman Avocado
Kow Soi Nue Yang
Lava Chicken
9 Pork Chop
Brown Rice
Coconut Rice
Ginger Rice
Pad Thai Lunch
Spicy Pad Kee Mao Lunch
Pad Ka-Prow Lunch
Pad See Euw Lunch
Kee Mao (spicy Basil Noodle) Lunch
Bangkok Fried Rice Lunch
Spicy Thai Basil Dish Lunch
Green Curry Lunch
General Tso Fried Chicken
Lunch Special
Noodles and Rice Lunch Special
Edamame
Veggie Spring Roll
Five Spice Braised Pork Bao
Thai Mixed Chicken 
 Shrimp Dumplings
Chicken Satay
Coconut Shrimp
Spicy Sriracha Buffalo Wings
Five Spicy Honey Glazed RIbs
Spicy Mixed Seafood Herbal Chili Jam
Lemongrass Soup
Galangal Coconut Milk Soup
5 Spice Stewed Beef Soup
Green Papaya Salad
Burmese Tea Leaves Salad
Pad See Euw
Kee Mao
