Tomato Basil Shorba
Coconut Zaffrani Chicken Shorba
Papaya Peanut Kachumber Salad
Raita
Hare Masaley ka Bhuna Paneer
Harippa Paneer Tikka
Chana Jor Garam Tikki
Kachche Kele Ki Shaami
Karara Subz Roll
Mixed Veg Platter
Bhatti ka Jheenga
Tandoori Sea Bass
Lawrence Road Tandoori Murgh
Murgh Angar Bedgi
Pudina Murgh Tikka
Shaam Savera
Adraki Dhaniya Paneer
Makhanwala Paneer
Aloo Bukhara Kofta
Ghara Dum Ke Aloo
Kadai Gobhi Achari
Tadka Palak
Fish Tikka Masala
Puran Singh da Tariwala Murgh
Butter Chicken
Lazeez Murgh Tikka Masala
Chicken Chettinad Roast
Nalli Rogan Josh
Bhuna Gosht
Dal Tadka Dhaba
Lalla Mussa Dal
Butter Naan
Garlic Naan
Tandoori Roti
Paratha
Pyaaz Mirch Ki Roti
Bread Basket
World Famous Khichdi
Paneer Tawa Pulao
Nizami Tarkari Biryani
Dum Gosht Biryani
Gulab e Gulkand
Shahi Tukda
Rasmalai
Pista Rose Phirni
Sprite
Mango Lassi
Andhra Mirchi Bajji
Punukulu
Mysore Bonda
Gobi Manchurian
Samosa
Dhaba Chilli Chicken
Chicken 65
Plain Naan
Mirchi Ka Paratha
Chicken Tikka Masala
Chicken Chettinad
Pepper Chicken
Andhra Chicken Curry
Konaseema Chicken Fry
Goat Rogan Josh
Lamb Chettinad
Goat Vindaloo
Goat Curry
Panner Aur Mirchi Ka Salan
Jaipuri Bhindi
Lassouni Saag Paneer
Malai Kofta
Mutter Paneer
Dal Fry
Gongura Pappu
Baigan Ka Bharta
Guntur Egg Burji
Navratan Korma
Paneer Butter Masala
Gobi Aur Paneer Bhurji
Nellore Fish Curry
Prawn Masala
Bhatti Ka Murgh
Chicken Tikka Kabob
Chicken Dum Ka Biryani
Vijayawada Chicken Biryani
Ulavacharu Chicken Dum Ka Biryani
Mutton Dum Ka Biryani
Paneer Vegetarian Dum Ka Biryani
Ulavacharu Paneer Biryani
Charminar Chicken Fry Biryani Family Pack
Chicken Dum Biryani Family Pack
Paneer Veg Biryani Family Pack
Ulavacharu Chicken Biryani Family Pack
Veg Dum Biryani Family Pack
Vijayawada Chicken Biryani Family Pack
Chicken Fried Rice
Egg Fried Rice
Curd Rice
Shahi Kheer
Gulab Jamun
Carrot Halwa
Soda
Tea
Chaas
Sweet Lassi
Khus Lassi
Bombay Vada Pav
Vegetable Burger
Dabeli
Papdi Chaat
Pani Poori
Bhel Poori
Hara Bhara Bhel
Sprouts Bhel
Dahi Batata Sev Puri
Sev Puri
Masala Chaat
Mixed Veg Pakora
Paneer Pakora
Chili Pakora
Aloo Tikki with Chana
Usal Pav
Misal Pav
Chaat Samosa
Chaat Basket
Bombay Chinese Bhel
Hakka Noodles
Mix Veg Manchurian
Snack Combo
House Thali
Bhel Thali
Chili Paneer Wrap
Paneer Tikka Wrap
Paneer Bhurji Wrap
Tomato Soup
Khichdi
Chana Batura
Poori Bhaji
Makki di Roti and Saag
Kadhi Chaval
Fried Rice
Amritsari Kulcha Chole
Aloo Gobi
Aloo Gobi Mattar
Kashmiri Dum Aloo
Kofta Curry
Jaipuri Masala Bhindi
