Unsweetened Iced Green Tea
Toro
Blue Fin Tuna
Yellowtail
Salmon
Amberjack
Spanish Mackerel
King Crab
Eel
Shrimp
Fluke
Salmon Caviar
Giant Clam
Toro Scallion Roll
Tuna Roll
Salmon Roll
Yellowtail Scallion Roll
King Crab Roll
Avocado Roll
Spicy Toro Roll
Spicy Tuna Roll
Spicy Salmon Roll
Spicy Yellowtail Roll
California Roll
Eel Roll
Salmon Skin Roll
Shrimp Roll
Rainbow Roll
Cucumber Roll
Tuna Avocado Roll
Eel Avocado Roll
Salmon Avocado Roll
King Crab Avocado Roll
Shrimp Tempura Roll
3. Sushi Deluxe Entree
4. Sushi Set Entree
6. Sashimi Special Entree
7. Sushi and Sashimi Combination Entree
Oshitashi
Edamame
Hijiki
Salmon Or Chilean Sea Bass
Ebi Maccha-age
Ara Jiru
Aka Miso
Ushio
Kaisou
Oshinko
Salad
Sushitake
Sushi Matsu
Sashimi Take
Maki Combination
Chirashi
Tekka Don Matsu
Tuna
Sea-bass
Spanish-mackerel
Cherrystone-clam
Egg-omelet
Orato
Orange-clam
Egg-custard
Tuna-roll
Salmon-skin-roll
Yellowtail-roll
Freshwater-eel-roll
Shirauo Kara-age
Tako Wasa
Zucchini Tempura
Spicy Cucumber Pickle
Fried Wonton Cheese
Ikura Shoyu
Salmon Siokara
Kizami Wasabi Shoyuzuke
Aburi Shime Saba
Totto Soup
Miso Soup
Kyona 
 Jyako Salad
Avocado 
 Tuna Salad
Spicy Chicken Salad
Tofu Salad W/ Lemon Dressing
Kaisou Salad
Agedashi Tofu
Yakumi Zaru Tofu
Bainiku Nagaimo Isobemaki
Kinoko 
 Nagaimo
Amakara Age
Maguro Zuke
Croquette
Jidori Karaage
Mizore Gake
Tori Dango
Dashi Maki Tamago
Negima
Kawa
Tebasaki
Sunagimo
Reba
Momo
Sasami
Tsukune
Pork Mustard
Negi Pon
Ton Toro
Harami
Asparagus
Shishito
Shiitake
Yaki Nasu Miso Dengaku
Hiza Nankotsu
Seseri
Bonchiri
Hatsu
Chicken Oyster
Nankotsu Tsukune
Hotate
Shishamo Smelt
Kuruma Ebi
Hokuhoku Garlic
Asparagus Bacon
Eringi Bacon
Kamo Negima
Lamb Chop
Shishito Tsukune
Yaki Onigiri
Tokusen Oyako Don
Jidori Donabe Gohan
Rice Ball
Tori Zousui
Sato Yosukes Inaniwa Udon
Ikura Don
Takana 
 Jyako Gohan
Negi Tori Don
Ocha Zuke
Spicy Tuna Tartare Cone
2 Piece Uni Corn
2 Piece Sukiyaki Beef Buns
Smashed Cucumber Salad
Grilled Organic Maitake Mushroom
Nibitashi Braised Eggplant
Shishito Pepper
Soy Garlic Fried Tatsuta Chicken
Shrimp Dumpling
Udon Pon Dumpling
Shrimp Tempura
Vegetable Tempura
Creamy Spicy Shrimp Tempura
Silken Tofu
Braised Pork Belly
Fried Oyster
Seared Salmon Sashimi
Lamb Chop with Spicy Miso
Grilled Duck Breast
Negitoro Roll
King Salmon Roll
Blue Crab California Roll
Sea and Truffle Roll
Seared Salmon Blue Crab Roll
Shrimp Tempura and Blue Crab Roll
3 oz. Kanpachi Sashimi
1.5 oz. Uni Sashimi
Oyako Don
Katsu Don
Uni, Ikura, and Crab Donburi
Kaisen Don
Hot and Sour Udon
Curry Udon
US Wagyu Shabu Curry
Truffle Creme with Crab and Mushroom
Beef Udon
Chicken Udon
Duck Udon
Sukiyaki Udon
Assorted Sashimi
Sea Urchin and Salmon Roe Sashimi
Medium Fatty Tuna Sashimi
Fluke Sashimi
Salmon Sashimi
Tuna Sashimi
Cheese Wonton
Maguro Yukke
Sashimi Ceviche
Karikari Jako Salad
Totto Salad
Smoked Salmon Potato Salad
Calamari Salad
Eringi Skewer
Shishito Skewer
Fresh Corn Tempura
Buta Lettuce Skewer
Enoki Bacon Skewer
Mochi Bacon Skewer
Totto
s Kimchee
Assorted Tempura
3 Pieces Uni Wagyu Maki
Unagi Uni Temaki
Sukui Tofu
Octopus Carpaccio
Roast Kobe Beef
Berkshire Pork Sparerib
4 Pieces Tori Dango
Buta Kakuni
4 Pieces Teba Karaage
Teriyaki Salmon
Gindara
Hokke
Tuna Tartar
Shishi Tsuku Skewer
Uzura Tamago Skewer
Kawa Ninniku Skewer
Yaki Onigiri Skewer
Kake Soba
Tempura Soba
Kamo Nanban Soba
Sukiyaki Soba
Mori Cold Soba
Towari Cold Soba
Ten Zaru Soba
Kamo Seiro Soba
Spicy Tsuke Niku Soba
Stamina Soba
Ikura Oroshi Soba
Unagi Tsukuda-Ni Soba
Sansai Kinoko Soba
Nama Uni Soba
Kaisen Sanshoku Don Bowl
Una Don
Unagi Uni Don Bowl
Uni Roast Beef Don Bowl
Gyu Shigure Hitsumabushi Bowl
Tuna Yukhoe Don
Beef Kalbi Don
Pork Belly Don
Beef Tataki Don
Chicken Miso Don
Chicken Soboro Don
Uni Ikura Don
Salmon Oyako Don
Salmon Sashimi Don
Tuna Avo Don
Negima Skewer
Tsukune Skewer
Negima Miso Skewer
Liver Skewer
Teba Skewer
Sot L
y Laisse Skewer
Nankotsu Skewer
Seseri Skewer
Hatsu Skewer
Hiza Skewer
Buta Miso Skewer
Soba Totto Original Dressing
Homemade Tofu with World Selected Salt
Natto Kobachi
Water Cress Salad with Special Bonito Flakes
Onsen Tamago
Special Bonito Flakes
Organic Natto
Ootoya 
Teishoku
Shima Hokke
Saba
Salmon Saikyo
Hokke Yuan
Buta Kim-Chee Nabe
Gyu Shio Koji Don
Oyako Ju
Tororo Oyako Don
Tori Kurozu Ju
Yakitori Ju
Rosu Katsu Ju
Bara Chirashi Don
Hanabi Don
Hon-Maguro Don
Homemade Seiro Soba (Served Cold)
Homemade Tororo Soba (Served Cold)
Mini Kaisen Don
Mini Tororo Negitoro Don
Mini Maguro Don
Mini Salmon Don
Mini Soboro Don
Mini Oyako Don
Salmon Sushi
Salmon Oyako Roll
Takowasa
Fried Shishito Pepper
Takoyaki
Omelette
Kurobuta Sausage
Kakuni
Yellowtail Carpaccio
Glazed Edamame
Seaweed Salad
Kimuchi
Shrimp Shumai
Gyoza
Avocado salad
Sashimi Salad
Ebitem Kushi
Chicken Nanban
Veggie Tempura
Fried Chicken Wings
Mentai Fried Potato
French Fries
Gobou Sticks
Spicy Fried Chicken
Soft Shell Crab Tempura
Hamachi Sashimi
Tuna Tataki
Pork Ginger
B Set
C Set
Harami Yakiniku
Okonomiyaki
Mentaiko Fried Rice
Salmon and Ikura Bowl
Takana Fried Rice
Kimchee Fried Rice
Zosui
Ten Don
Onigiri
Tuna Bowl
Grilled Rice Ball with Miso Sauce
Yellowtail Bowl
Triple Bowl
Mentai Pasta
Omusoba
Nabeyaki Udon
Wafu Pasta
Ramen
46 Special Ramen
Yakisoba
Soda
Oden
Steak don
Spicy Beef Ramen
Hamburg Curry
Salmon Salad
Saba Shioyaki
Kara Age
Tempura
Nasu Miso Itame
Salmon Teriyaki
