1. Kompot
4. Assorted Pickled Vegetable
5. Herring with Potatoes
7. Ash Lan Fin
1. Dungan Style Samsa
3. Jin Momo
10. Chives Gravy
5. Eggplant Gravy
6. Dungan Style Salad
1. Beef Tripe Soup
2. Shorpa Soup
4. Thon Lamian Soup
5. Dungan Noodles Soup
7. Ban Thon Soup
1. Classic Lamian
3. Tsomian
4. Guyru Lamian
5. Dapan Ji
8. Justai Hezi
3. Homemade Lamb
4. Braised Meat
1. Ton Momo
Pork Egg Roll
Shrimp Spring Roll
Fried Chicken Wing
Fries
Chicken Nuggets
Chicken Dumplings
Wonton Soup
Egg Drop Soup
Chicken Noodle Soup
Hot 
 Sour Soup
Mixed Vegetable Soup
Roast Pork Fried Rice
Chicken Fried Rice
Vegetable Fried Rice
Shrimp Fried Rice
Beef Fried Rice
House Special Fried Rice
Roast Pork Lo Mein
Chicken Lo Mein
Vegetable Lo Mein
Shrimp Lo Mein
Beef Lo Mein
House Special Lo Mein
Chicken Mei Fun
Shrimp Mei Fun
Beef Mei Fun
Singapore Mei Fun
General Tso
s Chicken
Sesame Chicken
Boneless Spare Ribs
Beef Pho
Pork Chop Pho
Vegetable Pho
Pork Chop Com Dia
Chicken Com Dia
Triple Delight Com Dia
Classic Vietnamese Banh Mi
Pork Chop Banh Mi
Chicken Banh Mi
Tilapia Banh Mi
Tofu Banh Mi
Bubble Tea
Slushie
Honey Citron
Lemonade
Homemade Iced Tea
Spring Rolls
Egg Rolls
Chicken Noodles
The Castaway Smoothie
The Green Dream Smoothie
Mango Tango Smoothie
Summer of 69 Smoothie
Strawberry Fields Smoothie
Watermelon Cooler Smoothie
The Yellow Ginger
Vietnamese Iced Coffee
Salted Vietnamese Limeade
Cha Gio (Spring Rolls)
Goi Cuon (Summer Rolls)
Nem Nuong Cuon (Pork Rolls)
Hu Tieu Em Noodle
Mien Ga
Pho Bo Em
Banh Mi Em Sandwich
Banh Mi Op La Sandwich
Banh Mi Bacon Egg and Cheese Sandwich
Banh Mi Burger
Banh Mi Bo
Banh Mi Bensonhurst
Steamed Bao 2 for
Grilled Shiitake Salad
Salt 
 Pepper Popcorn Shrimp
Pork, Chive 
 Cheddar Dumplings
Pangry Wings
Jalapeno Fried Rice
Baby Bok Choy
General Guan
s Fried Chicken
Pang Fried Noodles
BBQ Pulled Pork Sandwich
Green Tea Creme Brulee
Flourless Chili Chocolate Torte
Bánh Xèo
Bánh Mì
Pang-Fried Noodle Carbonara
HP Poutine
Scotch Egg
Pork Dumpling Soup w/ Beef Brisket
Japchae Stir-Fried Noodles
Kimbap Rolls
Magnolia Berry Iced Tea
Persimmon-Ginger Iced Tea
Blini
Samsa
Begodya
Pickles
Chicken Soup With Noodles
Kuksu
Shurpa
Lagman
Yug-gyadya
Ukrainian Borsch
Meat Dumplings
