lebanese style fruit cocktail
mujadara
vegetarian falafel plate
sojuk sandwich
stuffed cabbage
waraa einab
shish taouk salad bowl
shish taouk sandwich
sumac fries
kibbi kras
vegetarian lentil soup
side of vermicelli rice
fattoush salad
hummus
tabouli salad
spicy hummus
baba ghanoush
saltet raheb
labne
mohammara
chicken shawarma salad bowl
shish taouk salad bowl
lamb kebab salad bowl
sojuk salad bowl
vegetarian arnabeet salad bowl
vegetarian waraa einab salad bowl
vegetarian halloumi cheese salad bowl
vegetarian mujadarra salad bowl
chicken shawarma bulgur bowl
shish touk bulgur bowl
sojuk bulgur bowl
lamb kebab bulgur bowl
vegetarian arnabeet mekle bulgur bowl
vegetarian waraa einab bulgur bowl
vegetarian halloumi bulgur bowl
vegetarian mujadarra bulgur bowl
chicken shawarma mashwi plate
shish taouk mashwi plate
sojuk mashwi plate
lamb kebab mashwi plate
vegetarian arnabeet mekle plate
vegetarian waraa einab maswhi plate
vegetarian halloumi cheese mashwi plate
vegetarian mujadarra plate
batata sandwich
egg sandwich
arnabeet mekle sandwich
betenjan mashwi sandwich
chicken shawarma sandwich
shish taouk sandwich
sawdat djaj sandwich
egg sandwich
lamb kebab sandwich
kafta kabab sandwich
sojuk sandwich
tongue sandwich
asbi sandwich
samke harra sandwich
kibbeh burger
chicken burger
kafta burger
baklawa
mshabbak
mammoul pistachio
mammoul date
pita
garlic toum
tahini
vegan lebanese chickpeas stew
custom salad
chicken parmigiana melt
buffalo chicken melt
create your own quinoa bowl
create your own pasta
iced coffee
iced tea
iced flavored coffee
iced decaf coffee
fresh orange juice
water
canned soda
bottled soda
pure leaf tea
gatorade
nesquik
naked
sparkling water
pure coconut water
sobe
tazo
flavors organic roast
flavors decaf coffee
flavored coffee
brewed leaf tea
hot chocolate
green machine smoothie
flavors wake up smoothie
summer breeze smoothie
peanut power
aloha berry smoothie
california dreaming smoothie
flavors chicken soup
turkey chili
italian wedding soup
lobster bisque soup
shrimp corn chowder
organic green split pea
vegetable gumbo
tomato cheddar
custom salad
fiesta chicken salad
falafel salad
classic caesar salad
santa fe salad
south beach salad
california cobb salad
gaucho vegan salad
chicken caesar salad
greek salad
wasabi sesame crusted salmon salad
asian chili chicken salad
bistro salad
jumbo shrimp caesar salad
mediterranean quinoa salad
avocado chicken salad
organic lemon chickpea salad
organic egg side salad
albacore tuna side salad
all natural cranberry plainville turkey salad
chicken parmigiana melt
smoked turkey cheddar melt
buffalo chicken melt
crispy chicken mozzarella melt
chicken fresco melt
eggplant frita melt
chicken fajita melt
turkey bistro melt
steak and fontina melt
turkey cuban melt
pesto chicken sandwich
fresh mozzarella sandwich
albacore tuna sandwich
baked chicken cutlet sandwich
grilled fillet of salmon sandwich
maryland crab cake sandwich
italian submarine sandwich
monterey grilled chicken sandwich
california turkey
albacore tuna salad
basil chicken salad
roasted beef and cheddar
cranberry turkey salad sandwich
vegetarian sandwich
create your own quinoa bowl
ranchero quinoa bowl
moroccan quinoa bowl
southwestern quinoa bowl
asian ginger quinoa bowl
teriyaki shrimp quinoa bowl
create your own pasta
penne a la vodka pasta
penne primavera
tortellini al funghi
whole wheat penne genovese
linguine del mare
assorted cookies
brownies
chocolate pudding
sugar free jello
rice pudding
lebanese roasted cauliflower small
lebanese roasted cauliflower large
lebanese roasted cauliflower medium
chicken taboon bowl
shawarma bowl
chicken taboon mini bowl
pita
can of soda
perfect pita
the greek
the roygbiv
mediterranean greens
rocking beet juice
pure greens juice
soul kick juice
wake up call juice
coconut hydrate
falafel pita
vegetarian pita
gyro pita
turkish meatballs pita
shawarma pita
steak taboon pita
chicken taboon pita
falafel laffa
vegetarian laffa
gyro laffa
turkish meatballs laffa
chicken taboon laffa
shawarma laffa
steak taboon laffa
falafel bowl
vegetarian bowl
gyro bowl
turkish meatballs bowl
chicken taboon bowl
shawarma bowl
steak taboon bowl
falafel mini bowl
vegetarian mini bowl
gyro mini bowl
turkish meatballs mini bowl
chicken taboon mini bowl
shawarma mini bowl
steak taboon mini bowl
falafel greens
vegetarian greens
gyro greens
turkish meatballs greens
shawarma greens
chicken taboon greens
steak taboon greens
baba ganoosh small
beet salad small
chick pea salad small
corn salad small
cous cous small
fried eggplant small
stuffed vegetarian grape leaves small
grilled vegetables small
israeli salad small
mediterranean rice small
moroccan beans small
spanish eggplant small
tabuleh small
turkish salad small
mediterranean quinoa salad small
small cole slaw
carrots small
babaganoosh vegan small
cous cous salad small
lebanese roasted cauliflower small
baba ganoosh medium
beet salad medium
chick pea salad medium
corn salad medium
cous cous medium
fried eggplant medium
grilled vegetables medium
stuffed vegetarian grape leaves medium
israeli salad medium
mediterranean rice medium
moroccan beans medium
spanish eggplant medium
tabuleh medium
turkish salad medium
mediterranean quinoa salad medium
cole slaw medium
carrots medium
babaganoosh vegan medium
cous cous salad medium
lebanese roasted cauliflower medium
baba ganoosh large
beet salad large
chick pea salad large
corn salad large
cous cous large
stuffed vegetarian grape leaves large
fried eggplant large
grilled vegetables large
israeli salad large
mediterranean rice large
moroccan beans large
spanish eggplant large
tabuleh large
turkish salad large
mediterranean quinoa salad large
lebanese roasted cauliflower large
chicken taboon small side
steak taboon small side
gyro small side
shawarma small side
turkish meatballs small side
falafel small side
chicken taboon large side
steak taboon large side
gyro large side
turkish meatball large side
falafel large side
shawarma large side
hummus small
jalapeno cilantro hummus small
roasted pepper hummus small
spinach feta hummus small
sundried tomato hummus small
spicy pepper hummus small
mushroom hummus small
hummus tahini small
hummus fill it small
hummus morrocan beans small
hummus falafel small
flavor hummus tahini small
flavor hummus fill it small
flavor hummus morrocan beans small
flavor hummus falafel small
hummus medium
jalapeno cilantro hummus medium
