ajwain carom seeds
akudjura
alexanders
alkanet for red color
alligator pepper mbongo spice hepper pepper
allspice
angelica
anise
aniseed myrtle
annatto
artemisia
asafoetida
avens
avocado leaf
barberry
basil sweet
basil holy
basil lemon
basil thai
bay leaf
indian bay leaf tejpat malabathrum
boldo
borage
blue fenugreek blue melilot
california bay laurel
caper
caraway
cardamom
cardamom black
cassia
catnip
cayenne pepper
celery leaf
celery seed
chervil
cichοrium spinosum
chicory
chili pepper
chives
cicely sweet cicely
cilantro coriander greens coriander herb
cinnamon indonesian
cinnamon saigon or vietnamese
cinnamon true or ceylon
cinnamon white
cinnamon myrtle
clary clary sage
clove
coriander seed
coriander vietnamese
costmary
cubeb pepper
cudweed
culantro culangot long coriander
cumin
curry leaf
curry plant
fennel
fenugreek
filé powder gumbo filé
fingerroot krachai temu kuntji
galangal greater
galangal lesser
galingale
garlic chives
ginger
ginger torch bunga siantan
golpar persian hogweed
grains of paradise
grains of selim kani pepper
habanero
horseradish
houttuynia cordata
huacatay mexican marigold mint marigold
hyssop
jasmine flowers
jakhya
jalapeño
jiaogulan
jimbu
juniper berry
kaffir lime leaves makrud lime leaves
kala zeera black cumin
kawakawa seeds
keluak kluwak kepayang
kencur galangal kentjur
kinh gioi vietnamese balm
kokam seed
korarima ethiopian cardamom false cardamom
koseret leaves
lavender
lemon balm
lemon ironbark
lemon myrtle
lemon verbena
lemongrass
leptotes bicolor
lesser calamint nipitella nepitella
licorice liquorice
lime flower linden flower
lovage
locust beans
mace
mahleb st lucie cherry
marjoram
mastic
mint species hundreds of varieties
mountain horopito pepper plant
musk mallow abelmosk
mustard black mustard plant mustard seed
mustard brown mustard plant mustard seed
mustard white mustard plant mustard seed
mustard yellow
new mexico chile green chile or red chile sometimes referred to as hatch peppers
nigella black caraway black cumin black onion seed kalonji
njangsa djansang
nutmeg
olida
oregano
oregano cuban
orris root
pandan flower kewra
pandan leaf screwpine
paprika
paracress
parsley
pepper black white and green
pepper brazilian or pink pepper
pepper dorrigo
pepper long
pepper mountain cornish pepper leaf
peppermint
peppermint gum leaf
perilla deulkkae kkaennip shiso
deulkkae
kkaennip
shiso
peruvian pepper
poppy seed
rice paddy herb
rosemary
rue
safflower only for yellow color
saffron use of saffron
use of saffron
salt
sage
saigon cinnamon
salad burnet
salep
sassafras
sesame seed black sesame seed
savory summer
savory winter
shiso
silphium silphion laser laserpicium sorado
sorrel
sorrel sheep
spearmint
spikenard
star anise
sumac
sweet woodruff
szechuan pepper sichuan pepper
tarragon
tabasco
tasmanian pepper
thyme
thyme lemon
turmeric
vanilla
voatsiperifery
wasabi
water pepper smartweed
watercress
wattleseed
wild thyme
willow herb
wintergreen
wood avens herb bennet
woodruff
wormwood absinthe
