plain cheese pie
plain cheese pie with half topping
plain cheese pie with topping
plain cheese pie with toppings
plain cheese pie with toppings
fresh mozzarella pie
fresh mozzarella with half toppings
sicilian square pie
sicilian square with half toppings
white pie
white pie with half toppings
supreme pie
veggie
meatlover
joe s house salad
oz soda
stewart s soda
snapple
imported soda
mozzarella sticks
chicken parmigiana hero
regular pizza slice
vodka sauce pizza slice
chicken parmigiana
oz soda
broccoli saute
spinach saute
mozzarella sticks
buffalo wings
chicken fingers
garlic bread
garlic knots
stuffed garlic knot
stuffed grilled chicken knot
french fries
cheese quesadilla
cheese quesadilla with grilled chicken
broccoli rolls
pepperoni rolls
sausage rolls
spinach rolls
eggplant rolls
chicken rolls
super rolls
appetizer sampler
fried zucchini sticks
beef patty
tortellini soup
pasta fagioli soup
large justino s house salad
large juliet insalata
fresh mozzarella and tomato salad
chicken bruschetta salad
caesar salad
caesar salad with grilled chicken
cold antipasto salad
tossed salad
cold chicken salad
greek salad
chef salad
grilled chicken caesar wrap
grilled chicken spinach and cheese wrap
italian grilled chicken wrap
eggplant delight wrap
italian supreme wrap
veggie lover s wrap
chicken buffalo wrap
shrimp parmigiana hero
chicken parmigiana hero
chicken marsala hero
chicken francese hero
chicken hero
grilled chicken with peppers hero
veal and peppers hero
veal parmigiana hero
eggplant parmigiana hero
meatball parmigiana hero
sausage and peppers hero
sausage parmigiana hero
italian hero
ham and yellow american cheese hero
ham salami and cheese hero
philly cheese steak hero
pepper and egg hero
potato and egg hero
calzone
family size calzone
family calzone with a topping
regular pizza slice
l b square pizza slice
grandma pizza slice
buffalo chicken pizza slice
white slice pizza slice
margherita with fresh mozzarella pizza slice
vodka sauce pizza slice
chicken parmigiana pizza slice
chicken fresh tomato slice
artichoke alfredo sauce slice
cheese pie
grandma pizza
sicilian pizza
l b style sicilian pizza
old fashioned pizza
thin crust margherita pizza
white pizza
clam pizza
salad pizza
buffalo chicken pizza
spinach mozzarella and garlic pizza
artichokes mozzarella and garlic pizza
broccoli mozzarella and garlic pizza
lasagna pie ricotta meatball and sauce pizza
penne vodka pizza
vodka pizza
chicken broccoli garlic and oil pizza
chicken and fresh tomato pizza
chicago style with meat pizza
chicago style with vegetable pizza
hawaiian pizza
bbq chicken pizza
chicken parmigiana pizza
chicken broccoli alfredo pizza
broccoli rabe garlic and black olive pizza
spinach alfredo pizza
artichoke spinach alfredo pizza
primavera pizza
fresca pizza
justino s special pizza
sauteed fresh mushrooms pizza
chicken bacon and ranch pizza
pepperoni and bacon pizza
vegetable pizza
chipotle pizza
eggplant pizza
pasta with garlic and oil
baked ziti
stuffed shells
ravioli
manicotti
lasagna
cheese ravioli
rigatoni with ricotta and mozzarella
fettuccini alfredo
tortellini alfredo
penne vodka
penne vodka with chicken
penne a la justino s
ziti with broccoli and chicken
veggie delight
cappelini bolognese
calamari marinara
linguini and clam sauce
scungilli marinara
shrimp marinara
shrimp parmigiana
shrimp francese
shrimp scampi
shrimp fra diavolo
chicken parmigiana
chicken francese
chicken marsala
veal parmigiana
veal francese
veal marsala
meatball parmigiana
sausage parmigiana
eggplant parmigiana
eggplant rollatini
foot grilled chicken hero
foot italian supreme hero
foot roast beef and turkey hero
foot fried chicken cutlet hero
liter soda
oz soda
oz water
grilled chicken caesar platter
grilled chicken spinach and cheese platter
italian grilled chicken platter
eggplant delight platter
italian supreme platter
veggie lovers platter
chicken buffalo platter
rice balls tray
fried calamari tray
buffalo wings tray
chicken fingers tray
clams oreganata tray
stuffed mushroom caps tray
sauteed broccoli rabe tray
hot antipasta tray
justino s house salad tray
tre calore salad tray
caesar salad tray
grilled chicken caesar salad tray
fried calamari salad tray
pasta with garlic and oil
pasta with marinara
baked ziti tray
stuffed shells tray
manicotti tray
lasagna tray
cheese ravioli tray
rigatoni tray
gnocchetti tray
penne vodka tray
penne vodka with chicken tray
chicken parmigiana tray
chicken frances tray
chicken marsala tray
chicken piccata tray
veal parmigiana tray
veal francese tray
veal marsala tray
meatball parmigiana tray
sausage parmigiana tray
eggplant parmigiana tray
eggplant rollatini tray
sausage peppers and onions tray
sausage with broccoli rabe tray
baked filet of sole oreganata tray
filet of sole francese tray
calamari marinara tray
clams and pasta tray
scungilli marinara tray
shrimp marinara tray
shrimp parmigiana tray
shrimp francese tray
shrimp scampi tray
shrimp fra diavolo tray
mussels marinara tray
seafood combo tray
artichoke pizza
crab pizza
margherita pizza
sicilian pizza
pizza slice
vodka pizza
coke
diet coke
sprite
dr pepper
orange soda
ginger ale
poland spring bottled water
soda
fried mozzarella sticks
fried ravioli
caesar salad
chicken parmigiana sandwich
penne al pesto
penne alla vodka
fettuccini bolognese
pollo parmigiana
broccoli
the g o a t
jack daniel s bourbon bbq wings
spicy sausage and broccoli rabe pizza
spinach stuffed eggplant rollantini
salmon cous cous primavera
chicken sorrentino
chicken cutlet parmigiana sandwich with pesto and roasted red peppers
black truffle burrata caprese stack
buffalo wings
penne arrabiata
gamberi parmigiana in vodka sauce served over linguini
grilled chicken covered with mozzarella cheese and served with sautéed broccoli rabe
tortellini pancetta
shrimp fra diavolo over linguine
strawberry goat cheese arugula salad
gnocchi pesto
minestrone soup
coffee
decaf coffee
tea
green tea
espresso
decaf espresso
cappuccino
decaf cappuccino
soda
manhattan special
poland spring water
pellegrino mineral water
iced tea
calamari fritti with shoestring zucchini
gamberi fritti
calamari e gamberi fra diavolo
fried meatballs
mozzarella in carozza
eggplant rollatini
mozzarella caprese
hot antipasto
antipasto board
shrimp cocktail
bruschetta
fried mozzarella sticks
fried ravioli
carciofi fritti
arancini smoked
arancini special
zuppa del giorno
pasta e fagioli soup
mela noce salad
tuna salad
tricolore salad
della casa salad
salad alla calabrese
insalata de spinaci
caesar salad
tre sorelle salad
salmone griglia salad
italian burger
mattone burger
blue cheese burger
tre sorelle prosciutto bread sandwich i
tre sorelle prosciutto bread sandwich ii
meatball sandwich
chicken parmigiana sandwich
grilled chicken al freddo sandwich
sausage and peppers sandwich
fish fillet sandwich
shrimp parmigiana sandwich
potatoes and egg sandwich
sausage and broccoli rabe sandwich
eggplant parmigiana sandwich
bruschetta con pollo sandwich
panini mozzarella
panini with grilled chicken
panini pesto e pollo
panini steak onions
caprese wrap
smoked turkey wrap
chicken caesar wrap
grilled chicken wrap
penne al pesto
linguini alle vongole
penne alla vodka
ravioli alla aragosta
ravioli al pomodoro
fettuccini alfredo
fettuccini della nonna
spaghetti alla carbonara
fettuccini bolognese
cavatelli con broccoli rabe sausage
penne nostra
rigatoni isabella
baked ziti
risotto
gnocchi sorrentina
gnocchi quattro formaggi
linguini seafood scampi
risotto seafood scampi
penne alla salmone
fettuccini con gamberi and carciofi
marguerite pizza
napoletana pizza
salsiccia e funghi pizza
quattro stagioni pizza
primavera rossa pizza
diavola pizza
bufalina pizza
prosciutto e funghi pizza
quattro formaggi rossa pizza
capricciosa pizza
vodka pizza
pizza e formacci
pizza con carni
traditional italian panzerotta
tre sorelle white pizza
fornarina white pizza
primavera bianca white pizza
vegetarian white pizza
bianca white pizza
pizza di parma
personal gluten free pizza
pollo parmigiana
veal parmigiana
pollo scarpariello
pollo milanese
veal milanese
pollo contadina
pollo limone
vitello marsala
vitello piccata
gamberi franchese
gamberi del re
gamberia parmigiana
filet of sole franchese
red snapper livornese
fillet oreganato
salmon dijon
costatella di maiale
salmon cous cous primavera
eggplant parmigiana
grilled skirt steak
grilled steak
spinach
broccoli
broccoli rabe
potato campagnola
potato croquet
asparagus gratinati
mashed potatoes
french fries
tiramisu
creme brulee
homemade cheesecake
tartufo
cannoli
triple chocolate mousse
carrot cake
apple tart
chocolate souffle
tre marnier
smoked turkey sandwich
fresh mozzarella sandwich
grilled chicken sandwich
chicken parmigiana sandwich
penne alla vodka
seafood pasta
potato chips
l sandwich soup and beverage lunch special
colombian coffee
iced coffee
freshly squeezed orange juice
hot tea
soda
vitamin water
homemade iced tea
sweet leaf ice tea
snapple
san pellegrino sparkling water
oz lurisia sparkling water
oz poland spring water
mixed organic greens salad
tomato and arugula salad
fennel and arugula salad
fresh mozzarella and basil salad
grilled chicken salad
grilled marinated vegetables salad
bresaola salad
prosciutto and sopressata salad
loin of pork salad
chef s salad
chicken dill salad
caesar salad
chicken caesar salad
tuna nicoise salad
chicken nicoise salad
greek cheese salad
prosciutto di parma and asiago sandwich
prosciutto di parma and mascarpone sandwich
smoked prosciutto sandwich
sopressata sandwich
peppered salami sandwich
pork loin sandwich
bresaola and tuscan pecorino sandwich
roast turkey and sun dried tomato sandwich
smoked turkey sandwich
grilled marinated eggplant sandwich
baked ham sandwich
roast beef sandwich
fresh mozzarella sandwich
grilled chicken sandwich
walnut and dill chicken salad sandwich
chicken parmigiana sandwich
spaghettini all pomodoro
spaghettini alle vongole
rigatoni alla melanzane
penne alla speck
penne mozzarella
penne alla vodka
seafood pasta
penne alfredo
spaghettini and meat
lasagna of the day
linguini with mushroom sauce
linguini alla vongole
ravioli of the day
chicken parmigiana
fusilli with pesto sauce
pasta caprese salad
carrots and beets in vinaigrette
mixed green salad
pesto pasta salad
potato salad
fruit salad
potato chips
sandwich soup and beverage lunch special
sandwich chips and beverage lunch special
hot pasta of the day and beverage lunch special
grilled salmon lunch special
homemade cookie
cheesecake
chocolate cake
broccoli rabe
broccoli
meatballs
cannoli
old fashioned pie
small pie
large pie
soda
baked clams
shrimp marinara
shrimp zi pepe
mussels
fried calamari
josephine s eggplant
mozzarella and tomato
cold antipasto
peppers and onions
stuffed mushrooms
oven baked wings
buffalo wings
mixed greens salad
house salad
caesar salad
the frankie portobello salad
warm spinach salad
leaf salad
manicotti
spaghetti and meatballs
penne vodka
rigatoni tomato and basil
spaghetti marinara
fettuccine alfredo
fettuccine prosciutto
penne meat sauce with peas
spaghetti and broccoli
gnocchi tomato and basil
orecchiette rabe and sausage
bowtie shrimp and asparagus
spaghetti with shrimp marinara
linguine with clam sauce
linguine shrimp zi peppe
seafood linguine
linguine with mussels
spaghetti with garlic and oil
lasagna
chicken lemon and butter
chicken francese
chicken marsala
chicken parmesan
chicken milanese
chicken pizzaiola
chicken godzilla
chicken in the oven
grilled chicken over sauteed vegetables
chicken arrabiata
chicken saltimbocca
veal lemon and butter
veal francese
veal marsala
veal parmesan
veal milanese
veal pizzaiola
veal godzilla
veal in the oven
veal arrabiata
veal saltimbocca
filet of sole
salmon
shrimp oreganata
shrimp parmesan
asparagus
broccoli rabe
spinach
roasted potatoes
sauteed mushrooms
broccoli
sausage
meatballs
french fries
cannoli
brownie
tiramisu
cheesecake
chocolate cake
old fashioned pie
old fashioned white pie
small pie
large pie
small white pie
large white pie
dinner calzone
old fashioned red and white pie
large red and white
small red and white
soda
bottled water
pollo alla parmigiana
caesar salad
penne al pomodoro
rigatoni funghi e salsiccia
farfalle alla campagnola
fettuccine alla bolognese
zuppa del giorno
insalata di avocado e gamberi appetizer
burrata mozzarella
insalata di avocado e gamberi entree
hawaiian pizza
rucola pera e gorgonzola
rigatoni salsiccia e funghi
rigatoni con bufala e pomodorini
pollo ai funghi e marsala
pollo alla parmigiana
salmone al vino bianco e capperi
salmone alla griglia
pescespada alla puttanesca
agnello scottadito
bistecca alla gorgonzola
bistecca al aceto balsamico
vitello al limone
coke
diet coke
sprite
ginger ale
san pelligrino aranciata
san pelligrino limonata
panna distilled water
pelligrino sparkling water
pellegrino sparkling water
zuppa del giorno
bruschetta
parmigiana di melanzane
antipasto casereccio
caprese di bufala
fritturella mista
broccoli di rabe e salsicce
gamberoni saltati
insalata mista
