aish merahrah
ajdov kruh
anadama bread
anpan
appam hoppers
arepa
baba
bagel
baguette french stick french bread
balep korkun
bammy
banana bread
bannock
bara brith
barbari bread
barmbrack
barm cake
bastone italian stick cane staff
bazin
bazlama
beer bread
belgian waffle
bhakri
bialy
bing
biscotti
biscuit
black bread
blaa
bolani
bolo do caco
borlengo
borodinsky
boule
bread roll
breadstick
brioche
brioche bun
broa
brown bread
bublik
canadian white
carrot bread
česnica
challah
chapati
chickpea bread
cholermüs
christmas wafer
ciabatta
coppia ferrarese
cornbread
cottage loaf
cracker
crêpe
crisp bread
croutons
crumpet
cuban bread
curry bread
damper
dampfnudel
dorayaki
dosa
eggette
english muffin
farl
filone
flatbread
flatbrød
flatkaka
focaccia
fougasse
green onion pancake
hallulla
hardebrood
hardtack
himbasha
johnnycake or hoecake
ka ak
kalach
kaya toast
khanom bueang
khakhra
khubz
kifli
kisra
kulcha
lagana
lahoh
laobing
lavash
lefse
malooga
maltese bread ’’ħobż tal malti’’
mantou
markook
marraqueta
matzo
melonpan
miche
michetta
milk loaf milk bread
mollete
montreal style bagel
naan
ngome
obwarzanek krakowski
pain d epi wheat stalk bread
pain de mie or pancarré
pan dulce
panbrioche
pandesal
pandoro
pane carasau
pane di altamura
pane ticinese
panettone
panfocaccia
papadum or papad
paratha
parotta or barotta
paximathia
peg bread
penia
piadina
pistolet
pita
pogača
portuguese sweet bread
potato bread
potato pancake
potbrood
pretzel
proja
pumpernickel
puran poli also called obbatu bobbatlu bakshalu
qistibi
quick bread
rewena bread
rice bread
roti
rugbrød
rumali roti
ryaninjun
rye bread
sacramental bread
samoon
salt rising bread
sangak
scone
sgabeo
shirmal
shoti
soda bread
sourdough bread
speckendick
spelt bread
sprouted bread
taboon bread or laffa
taftan
tandoor bread
teacake
texas toast
tiger bread
tortilla
tsoureki
ttongppang
tunnbröd
vánočka
vienna bread
white bread
whole wheat bread
yufka
zopf
zwieback
